Language,Label,disabled
"zh_CN","Chinese (Simplified)APAC",""
"fr_CA","FrenchCANADA",""
"de","GermanEU",""
"el","GreekEU",""
"it","ItalianEU",""
"ko","KoreanAPAC",""
"pl","PolishEU",""
"pt_BR","Portuguese (Brazil)LATAM",""
"pt_PT","Portuguese (Europe)EU",""
"es","Spanish (Europe)EU",""
"es_MX","Spanish (Mexico)LATAM",""
"th","ThaiAPAC",""
"vi","VietnameseAPAC",""
"fr","FrenchEU",""
